runtime E0 E1
0.321 12.4947 12.4947
0.322 12.4378 12.4378
0.323 12.3782 12.3782
0.324 12.3158 12.3158
0.325 12.2507 12.2507
0.326 12.1828 12.1828
0.327 12.1121 12.1121
0.328 12.0386 12.0386
0.329 11.9624 11.9624
0.33 11.8833 11.8833
0.331 11.8013 11.8013
0.332 11.7166 11.7166
0.333 11.629 11.629
0.334 11.5385 11.5385
0.335 11.4452 11.4452
0.336 11.349 11.349
0.337 11.25 11.25
0.338 11.1482 11.1482
0.339 11.0435 11.0435
0.34 10.9361 10.9361
0.341 10.8258 10.8258
0.342 10.7128 10.7128
0.343 10.597 10.597
0.344 10.4785 10.4785
0.345 10.3573 10.3573
0.346 10.2334 10.2334
0.347 10.1069 10.1069
0.348 9.97783 9.97783
0.349 9.8462 9.8462
0.35 9.71207 9.71207
0.351 9.5755 9.5755
0.352 9.43654 9.43654
0.353 9.29524 9.29524
0.354 9.15168 9.15168
0.355 9.00592 9.00592
0.356 8.85804 8.85804
0.357 8.7081 8.7081
0.358 8.55619 8.55619
0.359 8.4024 8.4024
0.36 8.24681 8.24681
0.361 8.08952 8.08952
0.362 7.93063 7.93063
0.363 7.77023 7.77023
0.364 7.60844 7.60844
0.365 7.44536 7.44536
0.366 7.28111 7.28111
0.367 7.11582 7.11582
0.368 6.9496 6.9496
0.369 6.78258 6.78258
0.37 6.61489 6.61489
0.371 6.44667 6.44667
0.372 6.27807 6.27807
0.373 6.10921 6.10921
0.374 5.94026 5.94026
0.375 5.77136 5.77136
0.376 5.60266 5.60266
0.377 5.43432 5.43432
0.378 5.2665 5.2665
0.379 5.09937 5.09937
0.38 4.93309 4.93309
0.381 4.76782 4.76782
0.382 4.60374 4.60374
0.383 4.44101 4.44101
0.384 4.27982 4.27982
0.385 4.12033 4.12033
0.386 3.96272 3.96272
0.387 3.80717 3.80717
0.388 3.65385 3.65385
0.389 3.50294 3.50294
0.39 3.35461 3.35461
0.391 3.20905 3.20905
0.392 3.06642 3.06642
0.393 2.9269 2.9269
0.394 2.79067 2.79067
0.395 2.65789 2.65789
0.396 2.52873 2.52873
0.397 2.40336 2.40336
0.398 2.28194 2.28194
0.399 2.16463 2.16463
0.4 2.05158 2.05158
0.401 1.94295 1.94295
0.402 1.83888 1.83888
0.403 1.73952 1.73952
0.404 1.64501 1.64501
0.405 1.55546 1.55546
0.406 1.47103 1.47103
0.407 1.39181 1.39181
0.408 1.31793 1.31793
0.409 1.24949 1.24949
0.41 1.1866 1.1866
