runtime x0 y0 x1 y1
0.192 8.657283 11.245693 11.342717 8.754307
0.193 8.658436 11.245108 11.341564 8.754892
0.194 8.659593 11.244519 11.340407 8.755481
0.195 8.660753 11.243927 11.339247 8.756073
0.196 8.661917 11.243332 11.338083 8.756668
0.197 8.663084 11.242733 11.336916 8.757267
0.198 8.664255 11.242132 11.335745 8.757868
0.199 8.665428 11.241527 11.334572 8.758473
0.2 8.666606 11.240919 11.333394 8.759081
0.201 8.667786 11.240308 11.332214 8.759692
0.202 8.668970 11.239694 11.331030 8.760306
0.203 8.670158 11.239076 11.329842 8.760924
0.204 8.671349 11.238456 11.328651 8.761544
0.205 8.672543 11.237832 11.327457 8.762168
0.206 8.673741 11.237205 11.326259 8.762795
0.207 8.674942 11.236575 11.325058 8.763425
0.208 8.676146 11.235942 11.323854 8.764058
0.209 8.677354 11.235306 11.322646 8.764694
0.21 8.678564 11.234667 11.321436 8.765333
0.211 8.679779 11.234024 11.320221 8.765976
0.212 8.680996 11.233379 11.319004 8.766621
0.213 8.682217 11.232730 11.317783 8.767270
0.214 8.683441 11.232079 11.316559 8.767921
0.215 8.684669 11.231424 11.315331 8.768576
0.216 8.685899 11.230766 11.314101 8.769234
0.217 8.687133 11.230105 11.312867 8.769895
0.218 8.688370 11.229442 11.311630 8.770558
0.219 8.689611 11.228775 11.310389 8.771225
0.22 8.690854 11.228105 11.309146 8.771895
0.221 8.692101 11.227432 11.307899 8.772568
0.222 8.693351 11.226756 11.306649 8.773244
0.223 8.694604 11.226078 11.305396 8.773922
0.224 8.695860 11.225396 11.304140 8.774604
0.225 8.697120 11.224711 11.302880 8.775289
0.226 8.698382 11.224024 11.301618 8.775976
0.227 8.699648 11.223333 11.300352 8.776667
0.228 8.700917 11.222640 11.299083 8.777360
0.229 8.702188 11.221943 11.297812 8.778057
0.23 8.703463 11.221244 11.296537 8.778756
0.231 8.704741 11.220542 11.295259 8.779458
0.232 8.706022 11.219837 11.293978 8.780163
0.233 8.707306 11.219130 11.292694 8.780870
0.234 8.708592 11.218419 11.291408 8.781581
0.235 8.709882 11.217706 11.290118 8.782294
0.236 8.711175 11.216990 11.288825 8.783010
0.237 8.712470 11.216271 11.287530 8.783729
0.238 8.713769 11.215550 11.286231 8.784450
0.239 8.715070 11.214826 11.284930 8.785174
0.24 8.716374 11.214099 11.283626 8.785901
0.241 8.717681 11.213369 11.282319 8.786631
0.242 8.718991 11.212637 11.281009 8.787363
0.243 8.720303 11.211903 11.279697 8.788097
0.244 8.721619 11.211165 11.278381 8.788835
0.245 8.722936 11.210425 11.277064 8.789575
0.246 8.724257 11.209683 11.275743 8.790317
0.247 8.725580 11.208938 11.274420 8.791062
0.248 8.726906 11.208191 11.273094 8.791809
0.249 8.728235 11.207441 11.271765 8.792559
0.25 8.729566 11.206689 11.270434 8.793311
0.251 8.730899 11.205934 11.269101 8.794066
0.252 8.732235 11.205177 11.267765 8.794823
0.253 8.733574 11.204417 11.266426 8.795583
0.254 8.734915 11.203656 11.265085 8.796344
0.255 8.736258 11.202892 11.263742 8.797108
0.256 8.737604 11.202126 11.262396 8.797874
0.257 8.738952 11.201357 11.261048 8.798643
0.258 8.740302 11.200587 11.259698 8.799413
0.259 8.741654 11.199814 11.258346 8.800186
0.26 8.743009 11.199039 11.256991 8.800961
0.261 8.744366 11.198262 11.255634 8.801738
0.262 8.745725 11.197483 11.254275 8.802517
0.263 8.747086 11.196702 11.252914 8.803298
0.264 8.748449 11.195919 11.251551 8.804081
0.265 8.749814 11.195134 11.250186 8.804866
0.266 8.751182 11.194348 11.248818 8.805652
0.267 8.752551 11.193559 11.247449 8.806441
0.268 8.753921 11.192769 11.246079 8.807231
0.269 8.755294 11.191977 11.244706 8.808023
